data_source_ordering,city_gis_neighborhood_id,city_gis_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
1,62,Bryn - Mawr,BRYN-MAWR,112,0.6,91,<=5,0,6,<=5,81.3,*,0,5.4,*,102,91.1,10,8.9,<=5,*,0,0,65,58,45,40.2,<=5,*,<=5,*,103,93.6,16,96,14.3,85.7,101,11,90.2,9.8,102,<=5,<=5,0,95.3,*,*,0,86,<=5,<=5,0,93.5,*,*,0
2,44,CARAG,CARAG,145,0.8,92,32,6,8,<=5,63.4,22.1,4.1,5.5,*,94,64.8,51,35.2,0,0,<=5,*,111,76.6,32,22.1,13,9.2,27,19,102,71.8,9,136,6.2,93.8,140,<=5,96.6,*,123,17,<=5,0,86.6,12,*,0,93,21,<=5,0,79.5,17.9,*,0
3,73,Cedar - Isles - Dean,CEDAR ISLES DEAN,74,0.4,62,<=5,0,6,32,83.8,*,0,8.1,4.5,59,79.7,15,20.3,<=5,*,0,0,42,56.8,30,40.5,0,0,8,11.3,63,88.7,8,65,11,89,66,7,90.4,9.6,68,<=5,<=5,0,94.4,*,*,0,56,6,<=5,0,88.9,9.5,*,0
4,76,East Isles,EAST ISLES,73,0.4,60,<=5,0,<=5,<=5,82.2,*,0,*,*,65,89,8,11,<=5,*,<=5,*,33,45.2,37,50.7,<=5,*,6,8.5,64,90.1,10,63,13.7,86.3,65,8,89,11,61,<=5,<=5,0,87.1,*,*,0,55,<=5,<=5,0,88.7,*,*,0
5,43,ECCO,ECCO,59,0.3,45,<=5,0,8,<=5,76.3,*,0,13.6,*,51,86.4,8,13.6,<=5,*,0,0,35,59.3,23,39,<=5,*,<=5,*,50,89.3,8,51,13.6,86.4,55,<=5,93.2,*,55,<=5,<=5,0,94.8,*,*,0,46,6,<=5,0,90.2,11.1,*,0
6,74,Kenwood,KENWOOD,32,0.2,30,0,0,<=5,<=5,93.8,0,0,*,*,29,90.6,<=5,*,0,0,0,0,17,53.1,15,46.9,0,0,<=5,*,31,96.9,0,32,0,100,32,0,100,0,29,<=5,0,0,90.6,*,0,0,22,6,0,0,78.6,21.4,0,0
7,75,Lowry Hill,LOWRY HILL,77,0.4,69,<=5,0,<=5,<=5,89.6,*,0,*,*,70,90.9,7,9.1,0,0,<=5,*,36,46.8,38,49.4,<=5,*,7,9.2,68,89.5,6,71,7.8,92.2,75,<=5,97.4,*,67,8,0,0,89.3,10.7,0,0,59,10,0,0,85.5,14.5,0,0
8,42,Lowry Hill East,LOWRY HILL EAST,103,0.5,76,10,<=5,<=5,9,73.8,9.7,*,*,8.7,75,72.8,28,27.2,0,0,<=5,*,79,76.7,22,21.4,<=5,*,16,15.5,82,79.6,13,89,12.7,87.3,93,10,90.3,9.7,81,11,6,<=5,81.8,11.1,6.1,*,60,12,<=5,<=5,78.9,15.4,*,*
9,61,West Calhoun,WEST CALHOUN,42,0.2,34,<=5,0,<=5,0,81,*,0,*,0,34,81,8,19,0,0,<=5,*,32,76.2,9,21.4,0,0,<=5,*,38,92.7,<=5,35,*,87.5,38,<=5,90.5,*,38,<=5,0,0,92.7,*,0,0,31,<=5,0,0,91.2,*,0,0
10,46,Cleveland,CLEVELAND,186,1,72,80,<=5,17,12,38.7,43,*,9.1,6.5,81,43.5,105,56.5,12,6.5,9,4.8,134,72,31,16.7,33,18.4,58,32.4,88,49.2,34,152,18.3,81.7,164,22,88.2,11.8,141,24,<=5,0,83.9,14.3,*,0,106,29,<=5,0,76.8,21,*,0
