source_ordering,neighborhood_id,neighborhood_corrected_name,neighborhood_name,neighborhood_birth_count,neighborhood_birth_percent,mother_white_nonhisp_amt,mother_black_nonhisp_amt,mother_amerind_amt,mother_asian_pacific_islander_amt,mother_hispanic_amt,mother_white_nonhisp_perc,mother_black_nonhisp_perc,mother_amerind_perc,mother_asian_pacific_islander_perc,mother_hispanic_perc,mother_married_amt,mother_married_perc,mother_unmarried_amt,mother_unmarried_perc,mother_age_under18_amt,mother_age_under18_perc,mother_age_18to19_amt,mother_age_18to19_perc,mother_age_20to34_amt,mother_age_20to34_perc,mother_age_35plus_amt,mother_age_35plus_perc,mother_education_less_than_high_school_amt,mother_education_less_than_high_school_perc,mother_education_high_school_grad_amt,mother_education_high_school_grad_perc,mother_education_more_than_high_school_amt,mother_education_more_than_high_school_perc,pregnancy_gestation_under_37_wks_amt,pregnancy_gestation_over_37_wks_amt,pregnancy_gestation_under_37_wks_perc,pregnancy_gestation_over_37_wks_perc,pregnancy_birth_weight_over_2500_grams_amt,pregnancy_birth_weight_under_2500_grams_amt,pregnancy_birth_weight_over_2500_grams_perc,pregnancy_birth_weight_under_2500_grams_perc,pregnancy_first_trimester_care_began_amt,pregnancy_second_trimester_care_began_amt,pregnancy_third_trimester_care_began_amt,pregnancy_no_care_amt,pregnancy_first_trimester_care_began_perc,pregnancy_second_trimester_care_began_perc,pregnancy_third_trimester_care_began_perc,pregnancy_no_care_perc,pregnancy_care_adequacy_adequate_amt,pregnancy_care_adequacy_intermediate_amt,pregnancy_care_adequacy_inadequate_amt,pregnancy_care_adequacy_no_care_amt,pregnancy_care_adequacy_adequate_perc,pregnancy_care_adequacy_intermediate_perc,pregnancy_care_adequacy_inadequate_perc,pregnancy_care_adequacy_no_care_perc
1,62,Bryn - Mawr,BRYN-MAWR,113,0.6,97,<=5,0,6,<=5,85.8,*,0,5.3,*,107,94.7,6,5.3,<=5,*,0,0,64,56.6,48,42.5,<=5,*,6,5.5,103,93.6,10,102,8.9,91.1,107,6,94.7,5.3,99,<=5,<=5,0,92.5,*,*,0,87,7,<=5,0,90.6,7.3,*,0
2,44,CARAG,CARAG,120,0.7,80,20,<=5,11,<=5,66.7,16.7,*,9.2,*,83,69.2,37,30.8,0,0,<=5,*,96,80,23,19.2,<=5,*,19,16.2,94,80.3,6,111,5.1,94.9,115,<=5,95.8,*,98,14,<=5,<=5,85.2,12.2,*,*,87,17,<=5,<=5,82.1,16,*,*
3,73,Cedar - Isles - Dean,CEDAR ISLES DEAN,79,0.4,57,<=5,0,<=5,12,72.2,*,0,*,15.2,64,81,15,19,<=5,*,0,0,49,62,29,36.7,0,0,<=5,*,72,93.5,10,67,13,87,70,8,89.7,10.3,71,<=5,<=5,0,92.2,*,*,0,64,7,<=5,0,86.5,9.5,*,0
4,76,East Isles,EAST ISLES,72,0.4,63,<=5,0,<=5,0,87.5,*,0,*,0,65,90.3,7,9.7,0,0,0,0,50,69.4,22,30.6,0,0,<=5,*,68,95.8,9,60,13,87,66,6,91.7,8.3,64,<=5,0,0,92.8,*,0,0,59,<=5,0,0,95.2,*,0,0
5,43,ECCO,ECCO,55,0.3,47,<=5,0,<=5,<=5,85.5,*,0,*,*,41,74.5,14,25.5,0,0,0,0,33,60,22,40,0,0,<=5,*,52,98.1,<=5,45,*,90,50,<=5,90.9,*,47,<=5,<=5,0,92.2,*,*,0,41,3,<=5,0,91.1,6.7,*,0
6,74,Kenwood,KENWOOD,26,0.1,24,0,0,0,<=5,92.3,0,0,0,*,25,96.2,<=5,*,0,0,0,0,14,53.8,12,46.2,0,0,0,0,26,100,<=5,25,*,96.2,24,<=5,92.3,*,24,<=5,0,0,92.3,*,0,0,20,5,0,0,80,20,0,0
7,75,Lowry Hill,LOWRY HILL,70,0.4,63,<=5,0,<=5,<=5,90,*,0,*,*,65,92.9,<=5,*,0,0,<=5,*,37,52.9,31,44.3,<=5,*,6,8.6,63,90,<=5,65,*,94.2,67,<=5,95.7,*,63,6,0,<=5,90,8.6,0,*,59,8,<=5,<=5,85.5,11.6,*,*
8,42,Lowry Hill East,LOWRY HILL EAST,120,0.7,89,9,<=5,<=5,13,74.2,7.5,*,*,10.8,85,70.8,35,29.2,<=5,*,<=5,*,83,69.2,32,26.7,7,5.8,17,14.2,96,80,18,100,15.3,84.7,106,14,88.3,11.7,102,11,<=5,0,86.4,9.3,*,0,86,14,<=5,0,82.7,13.5,*,0
9,61,West Calhoun,WEST CALHOUN,43,0.2,34,<=5,0,<=5,<=5,79.1,*,0,*,*,30,69.8,13,30.2,0,0,<=5,*,30,69.8,11,25.6,<=5,*,<=5,*,37,86,0,40,0,100,40,<=5,93,*,41,0,0,0,100,0,0,0,37,0,0,0,100,0,0,0
10,46,Cleveland,CLEVELAND,177,1,79,68,<=5,11,9,44.6,38.4,*,6.2,5.1,78,44.1,99,55.9,14,7.9,8,4.5,122,68.9,33,18.6,30,17.2,46,26.4,98,56.3,22,150,12.8,87.2,163,14,92.1,7.9,139,24,<=5,<=5,83.2,14.4,*,*,114,24,<=5,<=5,79.2,16.7,*,*
